_id,trans_date_trans_time,amt,customer_id,city,state,city_population,merchant,category,first,last,gender,Job,dob
12,22/03/2020 09:34,92.23,324,Achille,OK,74720,Bailey-Morar,grocery_pos,Felicia,Thomas,F,Seismic interpreter,27/05/1993
20,09/02/2020 07:08,124.86,324,Achille,OK,74720,Barton Inc,grocery_pos,Felicia,Thomas,F,Seismic interpreter,27/05/1993
24,01/09/2019 18:10,190.6,324,Achille,OK,74720,"Baumbach, Hodkiewicz and Walsh",shopping_pos,Felicia,Thomas,F,Seismic interpreter,27/05/1993
32,16/05/2019 06:51,76.92,324,Achille,OK,74720,Bernhard Inc,gas_transport,Felicia,Thomas,F,Seismic interpreter,27/05/1993
48,20/06/2020 23:37,9.54,324,Achille,OK,74720,Botsford Ltd,shopping_pos,Felicia,Thomas,F,Seismic interpreter,27/05/1993
56,13/04/2019 03:30,41.38,324,Achille,OK,74720,Brekke and Sons,gas_transport,Felicia,Thomas,F,Seismic interpreter,27/05/1993
72,01/01/2020 16:06,5.35,324,Achille,OK,74720,"Cole, Hills and Jewess",home,Felicia,Thomas,F,Seismic interpreter,27/05/1993
80,08/02/2020 13:05,8.63,324,Achille,OK,74720,Conroy Ltd,shopping_pos,Felicia,Thomas,F,Seismic interpreter,27/05/1993
96,11/12/2019 04:25,31.78,324,Achille,OK,74720,Cummerata-Jones,gas_transport,Felicia,Thomas,F,Seismic interpreter,27/05/1993
104,18/03/2019 13:37,5.15,324,Achille,OK,74720,"Dare, Fritsch and Zboncak",health_fitness,Felicia,Thomas,F,Seismic interpreter,27/05/1993
128,27/07/2019 00:14,66.18,324,Achille,OK,74720,Emard Inc,gas_transport,Felicia,Thomas,F,Seismic interpreter,27/05/1993
144,05/12/2019 01:02,41.52,324,Achille,OK,74720,Funk Group,grocery_net,Felicia,Thomas,F,Seismic interpreter,27/05/1993
152,11/08/2019 16:12,3.9,324,Achille,OK,74720,Gleason-Macejkovic,shopping_net,Felicia,Thomas,F,Seismic interpreter,27/05/1993
168,01/06/2020 19:11,16.56,324,Achille,OK,74720,Haag-Blanda,food_dining,Felicia,Thomas,F,Seismic interpreter,27/05/1993
192,18/10/2019 02:18,71.67,324,Achille,OK,74720,Heller-Langosh,gas_transport,Felicia,Thomas,F,Seismic interpreter,27/05/1993
216,09/06/2019 18:49,5.5,324,Achille,OK,74720,Jakubowski Group,food_dining,Felicia,Thomas,F,Seismic interpreter,27/05/1993
240,02/05/2019 21:04,5.93,324,Achille,OK,74720,"Kihn, Abernathy and Douglas",shopping_net,Felicia,Thomas,F,Seismic interpreter,27/05/1993
264,02/07/2019 05:56,76.46,324,Achille,OK,74720,"Kovacek, Dibbert and Ondricka",grocery_pos,Felicia,Thomas,F,Seismic interpreter,27/05/1993
312,20/04/2019 18:35,17.49,324,Achille,OK,74720,Lubowitz-Walter,kids_pets,Felicia,Thomas,F,Seismic interpreter,27/05/1993
336,08/12/2019 16:55,124.31,324,Achille,OK,74720,"Moore, Williamson and Emmerich",home,Felicia,Thomas,F,Seismic interpreter,27/05/1993
